Nombre,Sexo,Grupo_cerrado,Fichero g.cerrado,(>=,Err:510,0),Edad,Coeficiente_clubes,Licencia,Otras_categorias,Tipo_categoria_rank_clubes,Elite
F-E,Mujer,SI,grupoDE.csv,0,,1.25,A,NO,Jovenes,1,,
M-E,Hombre,SI,grupoHE.csv,0,,1.25,A,NO,Jovenes,1,,
F-12,Mujer,NO,,<=,12,1,C,NO,Jovenes,0,,
M-12,Hombre,NO,,<=,12,1,C,NO,Jovenes,0,,
F-14,Mujer,NO,,<=,14,1,C,NO,Jovenes,0,,
M-14,Hombre,NO,,<=,14,1,C,NO,Jovenes,0,,
F-16,Mujer,NO,,<=,16,1,C,NO,Jovenes,0,,
M-16,Hombre,NO,,<=,16,1,C,NO,Jovenes,0,,
F-18A,Mujer,NO,,<=,18,1,C,NO,Jovenes,0,,
M-18A,Hombre,NO,,<=,18,1,C,NO,Jovenes,0,,
F-18/20B,Mujer,NO,,<=,20,0.8,C,NO,Jovenes,0,,
M-18/20B,Hombre,NO,,<=,20,0.8,C,NO,Jovenes,0,,
F-20A,Mujer,NO,,<=,20,1,C,NO,Senior,0,,
M-20A,Hombre,NO,,<=,20,1,C,NO,Senior,0,,
F-21A,Mujer,NO,,0,,1,B,NO,Senior,0,,
M-21A,Hombre,SI,grupoH21.csv,0,,1,B,NO,Senior,0,,
F-21B,Mujer,NO,,0,,0.8,B,NO,Senior,0,,
M-21B,Hombre,NO,,0,,0.8,B,NO,Senior,0,,
F-35A,Mujer,NO,,>=,35,1,B,NO,Veteranos,0,,
M-35A,Hombre,NO,,>=,35,1,B,NO,Veteranos,0,,
F-35B,Mujer,NO,,>=,35,0.8,B,NO,Veteranos,0,,
M-35B,Hombre,NO,,>=,35,0.8,B,NO,Veteranos,0,,
F-40,Mujer,NO,,>=,40,1,B,NO,Veteranos,0,,
M-40,Hombre,NO,,>=,40,1,B,NO,Veteranos,0,,
F-45,Mujer,NO,,>=,45,1,B,NO,Veteranos,0,,
M-45,Hombre,NO,,>=,45,1,B,NO,Veteranos,0,,
F-50,Mujer,NO,,>=,50,1,B,NO,Veteranos,0,,
M-50,Hombre,NO,,>=,50,1,B,NO,Veteranos,0,,
F-55,Mujer,NO,,>=,55,1,B,NO,Veteranos,0,,
M-55,Hombre,NO,,>=,55,1,B,NO,Veteranos,0,,
F-60,Mujer,NO,,>=,60,1,B,NO,Veteranos,0,,
M-60,Hombre,NO,,>=,60,1,B,NO,Veteranos,0,,
F-65,Mujer,NO,,>=,65,1,B,NO,Veteranos,0,,
M-65,Hombre,NO,,>=,65,1,B,NO,Veteranos,0,,
F-70,Hombre,NO,,>=,70,1,B,NO,Veteranos,0,,
M-70,Hombre,NO,,>=,70,1,B,NO,Veteranos,0,,
RAIF INT,Hombre,NO,,0,,1,RI,SI,Veteranos,0,,
RaiF,Hombre,NO,,0,,1,R,SI,Veteranos,0,,
