Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,COMA,0,27931.19,1154.18,1240.03,1239.95,851.11,836.24,1316.89,1297.11,1285.46,1316.39,1139.57,,1355.46,837.48,874.2,1241.11,1216.78,1337.17,1298.7,Or,Or,1146.39,1254.54,1311.88,1265.53,847.55,882.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,COLIVENC,0,26612.77,1108.87,1314.26,1480.08,1448.75,1479.81,1432.15,1448.47,652.54,680.45,1463.52,,1467.53,255,255,1088.26,1244.1,1216.13,1034.91,1008.35,1132.92,1282.82,1361.08,786.76,650.08,1204.53,1225.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LORCA-O,0,26462.23,1093.48,1173.16,1122.04,Or,Or,1248.25,1323.21,1285.7,1235.55,1173.51,,1148.06,679.28,599.9,1035.4,1001.71,974.04,920.32,1145.8,1211.82,1179.4,1087.05,1244.84,1288.87,980.69,997.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SANT JOAN,0,21230.6,884.61,982.38,966.42,1076.97,1217.89,1234.35,1224.31,728.38,677.42,858.2,,770.16,621.46,711.9,1010.27,984.88,908.86,920.36,767.66,702.3,1045.95,1124.64,850.7,733.31,622.97,488.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TOLEDO-O,0,21204.8,883.53,1159.83,1260.51,952.85,975.35,1002.46,1057.88,0,0,1013.63,,983.61,356.84,451.18,1029.38,930.71,846.14,787.57,1099.17,1147.6,1062.82,1069.68,877.92,827.23,1138.98,1173.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TOTANA-O,0,20172.04,840.5,754.83,848.44,1187.64,1104.4,1052.53,1073.15,1048.68,1003.79,836.09,,797.26,0,0,719.09,799.58,825.93,775.94,771.6,857.45,993.23,1046.11,1111.91,1097.2,755.59,711.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GODIH,0,19562.37,815.1,876.74,811.66,998,922.45,1117.4,1030.14,197.77,178,910.18,,1008.93,492.63,462.46,820.14,818.21,802.66,734.27,943.15,894.5,971.58,920.38,942.27,930.66,927.95,850.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,COV,0,18645.35,776.89,1254.02,1366.83,199.92,171.45,359.6,370.98,259.65,281.98,1067.18,,1235.66,1019.13,1108.59,931.03,1046.25,1137.47,911.25,625.86,636.41,1169.29,1183.08,229.74,222.34,1038.51,819.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CDP-O,0,18089.82,753.74,1108.02,1196.36,617.5,786.5,695.11,740.15,250.45,234.75,1047.65,,1118.07,539.91,564.38,983.22,1012.07,711.72,677.16,628.89,571.2,931.17,940.67,328.94,262.84,1014.25,1128.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,VELETA,0,17372.97,723.87,476.24,443.42,817.24,784.44,726.06,724.83,1246.09,1139.05,1151.26,,1101.58,76.7,97.31,541.75,571.9,498.27,442.74,1133.45,1221.18,751.33,777.11,1218.82,1093.56,177.52,161.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,COC,0,16866.65,702.78,616.15,698.33,361.9,520.84,1087.3,1218.96,284.02,259.1,1386.34,,1385,196.39,201.97,1010.63,1090.03,910.18,854,426.31,419.97,854.13,905.66,568.92,496.35,597.98,516.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VILLENA-O,0,16303.63,679.32,234.23,229.59,961.71,1115.75,1180.15,987.91,645.13,605.02,969.79,,1034.83,674.91,644.07,585.78,688.9,411.74,458.47,572.01,687.15,809.06,703.42,344.88,437.66,643.51,677.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IMPERDIBLE,0,15620.04,650.84,714.3,818.14,541.29,659.23,625.79,725.3,512.55,472.75,872.51,,891.59,625.41,698.19,553.35,600.91,615.09,679.18,482.54,499.99,677.41,563.11,698.91,714.79,632.72,744.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CORRECAMINOS,0,15334.23,638.93,725.36,716.91,901.6,847.94,863.31,913.75,100,91.87,798.59,,800.75,189.87,177.14,818,810.07,757.83,725.25,566.24,630.61,781.76,778.94,801.19,671.67,467.34,398.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MANZANARES-O,0,14767.94,615.33,738.73,717.49,181.09,165.4,807.87,931.72,307.84,296.29,772.47,,688.83,141.01,102,923.12,1010.97,721.81,672.72,787.67,901.02,649.95,663.99,707.92,701.8,640.11,536.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ORIENTA-GETAFE,0,14138.43,589.1,727,811.81,737.8,725.72,388.12,369.48,525.96,460.19,721.5,,717,469.26,598.46,585.51,585.12,683.96,671.52,561,692.46,508.82,429.69,573.79,602.54,588.37,403.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VALENCIA-O,0,14134.98,588.96,551.64,692.34,740.4,742.73,710.46,753.24,481.17,459.12,665.96,,769.14,266.94,328.63,610.7,503.69,593.56,498.59,468.62,515.82,538.34,660.25,616.58,660.59,660.09,646.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ADOL,0,14118.83,588.28,853.59,831.91,313.98,348.9,237.83,235.58,1175.59,1200.26,733.47,,648.97,300.99,270.75,598.16,604.89,731.4,696.29,1069.5,1091.83,132.25,141.07,954.64,921.98,12.5,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NAVALCAN-O,0,13794.39,574.77,932.25,877.96,687.14,762.86,91.6,71.93,364.41,338.25,654.77,,542.2,891.49,771.66,659.77,590.83,748.28,681.07,206.32,243.92,874.83,950.38,182.32,167.97,703.72,798.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,IBÓN,0,13455,560.63,367.44,505.71,380.64,434.43,440.19,490.28,0,0,1065.88,,954.11,269.97,184.36,730.74,835.25,860.84,748.08,550.78,654.37,995.12,1060.7,339.6,312.92,632,641.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ALCON,0,12103.89,504.33,854.69,813.07,0,0,299.25,297.03,94.1,88.91,1193.6,,1183.37,573.55,662.1,943.4,888.22,685.37,612.99,0,0,732.56,769.27,0,0,721.84,690.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CODAN EXTREMADURA,0,11282.95,470.12,820.52,757.48,61.8,0,140.65,140.52,408.89,346.11,960.48,,922.78,165.67,207.67,500.37,543.36,601.22,491.59,451.72,510.06,530.38,613.59,557.06,528.9,471.86,550.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UEVIC,0,11240.96,468.37,0,0,576.6,748.09,677.79,704.3,407.2,427.81,726.43,,568.26,471.66,478.97,620.97,660.05,316.14,320.54,234.04,253.79,634.28,544.95,461.82,439.11,487.95,480.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
