Orden,Club,Division,Total,Media,CB1,CB2,Ca1,Ca2,J1,J2,CC1,CC2,CEOL,CEOS,CEOM,Por1,Por2,Mo1,Mo2,Pa1,Pa2,S1,S2,Ib1,Ib2,Bi1,Bi2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,COLIVENC,1,21442.37,974.65,1456.43,10,347.08,385.15,1323.48,1365.91,1472.51,1508.1,1508.79,,1528.98,0,0,913.93,1016.37,1115.37,1146.92,955.49,979.85,1201.96,1124.96,1098.19,982.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,COMA,1,20883.47,949.25,1084.1,10,1127.94,1158.24,1126.83,1165.22,1227.48,1218.44,1211.01,,1259.41,308.97,314.39,1413.9,1408.2,125,118.78,1065.29,1132.58,1397.35,1337.05,792.86,880.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VILLENA-O,1,18431.83,837.81,744.79,20,758.66,772.8,933.65,969.46,1090.86,1108.87,1202.65,,1296.54,466.14,421.89,796.84,756.74,544.58,476.32,1030.15,1062.65,969.04,910.16,995.56,1103.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LORCA-O,1,17534.49,797.02,994.38,40,744.61,829.77,941.06,941.49,1296.22,1317.4,980.66,,1115.89,436.33,494.98,910.94,921.94,812.02,798.09,886.74,941.23,1091.46,1039.28,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COLMENAR,1,16828.99,764.95,969.32,40,641,724.82,645.36,681.97,899.3,951.21,1175.13,,1193.96,560.8,641.79,475.42,569.37,745.66,723.78,750.66,826.54,986.14,1014.42,808.07,804.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TOLEDO-O,1,15396.03,699.82,1032.01,0,171.2,358.57,983.16,920.62,1032.1,946.93,1173.16,,1334.91,490.97,484.05,160.28,220.85,1004.24,879.95,714.36,820.7,781.23,881.15,467.68,537.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,COV,1,15158.91,689.04,436.67,0,240.5,255.12,427.27,388.67,186.44,197.15,1114.96,,1151.03,1035.75,1069.59,138.33,137.2,1087.15,1128.88,1090.45,1184.53,1214.39,1204.27,604.26,866.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NAVALCAN-O,1,14551.38,655.47,834.24,10,389.8,404.11,952.52,825.84,644.41,628,Or,,Or,559.71,550.03,391.67,386.21,935.56,932.95,660.66,801.56,704.5,640.34,916.17,941.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TOTANA-O,1,13206.56,600.3,817.11,20,618.1,660.27,844.64,804.58,663.09,670.16,867.33,,1032.21,189.7,181.92,608.71,630.73,172.14,175.4,610.11,653.49,782.49,766.62,650.92,786.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUMBO-MADRID SANSE,1,13205.81,600.26,571.09,10,614.15,742.74,533.92,519.33,593.63,619.48,967.29,,1069.99,634.26,612.42,537.18,537.58,280.3,340.12,753.58,829.19,725.88,723.49,472.89,517.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UEVIC,1,12749.02,579.5,535.86,10,611.85,746.54,710.72,760.37,668.41,696.1,895.91,,878.09,408.18,472.21,456.08,452.43,502.05,501.53,677.06,672.58,575.23,577.35,448.54,491.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ADOL,1,12257,557.14,253.48,40,933.78,1012.02,1020.71,1048.98,204.32,210.18,905.1,,1227.14,527.63,484.68,1270.21,1223.18,0,0,247.03,166.89,730.14,751.53,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GO-XTREM,1,11912.73,541.49,1125.61,10,501.45,623.81,218.26,122.13,856.06,934.1,1140.34,,1283.97,220.99,372.56,0,0,0,0,1188.71,1300.39,482.77,424.34,481.32,625.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IMPERDIBLE BUFF,1,11615.26,527.97,530.55,10,60.1,10,604.75,591.32,423.28,337.98,780.62,,712.17,505.46,469.89,202.67,373.48,548.16,574.1,841.25,885.79,719.01,794.34,767.56,872.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,VELETA,1,11465.48,521.16,481.78,10,726.64,769.85,1021.98,1031.78,532.1,511.14,994.05,,964.2,0,0,971.49,1005.1,228.41,172.47,243.63,217.4,561.39,535.14,241.96,244.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CDP-O,1,11314.53,514.3,231.54,0,53.67,56.85,0,0,55.48,77.9,916.17,,1013.88,434.61,429.58,0,0,1075.75,1020.79,1006.69,1194.38,962.62,947.82,877.52,959.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GODIH,1,10074.11,457.91,759.67,50,186.02,203.77,884.41,827.88,817.01,778.22,836.53,,825.04,0,0,109.1,142.49,189.31,191.34,667.28,691.59,782.05,773.79,175.81,182.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ALABARDA-O,1,10042.04,456.46,507.58,10,184.43,175.29,144.26,164.67,660.8,686.94,528.03,,617.47,380.92,482.57,517.89,503.43,435.68,432.93,664.37,692.33,680.16,621.99,469.67,480.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,
